Codigo,Familia,Genero,Especie ,Nombre completo ,100_A.,100_B.,102_B.,201_A.,201_B.,201_C.,204_A.,207_A.,230_A.,231_A.,232_A.,232_B.,234_A.,301_B.,301_C.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,332_B.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
FC_0081,Malvaceae,Heliocarpus,appendiculatus,Heliocarpus appendiculatus,unisexual,unisexual,N/A,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),tetramerous,tetramerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,,whorled,,tetramerous,tetramerous,N/A,,,,absent,N/A,N/A
FC_0082,Chrysobalanaceae,Hirtella,racemosa,Hirtella racemosa,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),extrorse,dorsifixed,,whorled,one (1),pentamerous,pentamerous,whorled,one (1),N/A,two (2),absent,N/A,N/A
FC_0083,Euphorbiaceae,Hura,polyandra,Hura polyandra,unisexual,unisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),zygomorphic,whorled,one (1),N/A,N/A,undifferentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,more than five (>5),fused (>5%),one (1),absent,N/A,N/A
FC_0084,Euphorbiaceae,Hura,polyandra,Hura polyandra,unisexual,unisexual,N/A,present,one to five (1-5),one to six (1-6),fused (>5%),zygomorphic,whorled,one (1),N/A,N/A,undifferentiated,more than ten (>10),more than six (>6),N/A,N/A,N/A,,whorled,more than two (>2),N/A,N/A,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0085,Fabaceae,Inga,acrocephala,Inga acrocephala,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,N/A,whorled,one (1),N/A,one (1),present,glandular,
FC_0086,Fabaceae,Inga,sapindoides,Inga sapindoides,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,N/A,whorled,one (1),N/A,one (1),present,glandular,
FC_0087,Fabaceae,Inga,vera,Inga vera,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,,whorled,one (1),N/A,N/A,whorled,more than five (>5),fused (>5%),three or more (>2),present,glandular,intraestaminal
FC_0088,Caricaceae,Jacaratia,dolichaula,Jacaratia dolichaula,unisexual,unisexual,inferior,present,six to ten (6-10),one to six (1-6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0089,Caricaceae,Jacaratia,dolichaula,Jacaratia dolichaula,unisexual,unisexual,N/A,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),pentamerous,pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0090,Juglandaceae,Juglans,pyriformis,Juglans pyriformis,unisexual,unisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,more than five (>5),fused (>5%),,absent,N/A,N/A
FC_0091,Juglandaceae,Juglans,pyriformis,Juglans pyriformis,unisexual,unisexual,N/A,present,more than ten (>10),more than six (>6),,actinomorphic,whorled,one (1),tetramerous,tetramerous,undifferentiated,more than ten (>10),more than six (>6),typical (narrow),,basifixed,longitudinal slit,whorled,more than two (>2),N/A,N/A,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0092,Lacistemataceae,Lacistema,aggregatum,Lacistema aggregatum,bisexual,bisexual,inferior,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),,,,whorled,one (1),N/A,N/A,whorled,three (3),fused (>5%),one (1),present,discoidal,intraestaminal
FC_0093,Combretaceae,Laguncularia,racemosa,Laguncularia racemosa,unisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,one (1),N/A,two (2),present,discoidal,intraestaminal
FC_0094,Combretaceae,Laguncularia,racemosa,Laguncularia racemosa,unisexual,unisexual,N/A,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,N/A,N/A,N/A,N/A,present,discoidal,intraestaminal
