Codigo,Familia,Genero,Especie ,Nombre completo ,100_A.,100_B.,102_B.,201_A.,201_B.,201_C.,204_A.,207_A.,230_A.,231_A.,232_A.,232_B.,234_A.,301_B.,301_C.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,332_B.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
FC_0125,Fabaceae,Pterocarpus,rohrii,Pterocarpus rohrii,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0126,Malvaceae,Quararibea,funebris,Quararibea funebris,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,,one (1),,,whorled,two (2),fused (>5%),two (2),,,
FC_0127,Fagaceae,Quercus,acutifolia,Quercus acutifolia,unisexual,unisexual,inferior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,differentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
FC_0128,Fagaceae,Quercus,oleoides,Quercus oleoides,unisexual,unisexual,inferior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,differentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
FC_0129,Fagaceae,Quercus,skinneri,Quercus skinneri,unisexual,unisexual,inferior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,differentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
FC_0130,Clusiaceae,Garcinia,intermedia,Garcinia intermedia,unisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),tetramerous,tetramerous,differentiated,more than ten (>10),more than six (>6),,extrorse,dorsifixed,longitudinal slit,whorled,,N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),absent,N/A,N/A
FC_0131,Arecaceae,Roystonea,dunlapiana,Roystonea dunlapiana,unisexual,unisexual,superior,present,six to ten (6-10),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),trimerous,trimerous,differentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0132,Arecaceae,Sabal,mexicana,Sabal mexicana,bisexual,bisexual,superior,present,six to ten (6-10),one to six (1-6),fused (>5%),actinomorphic,spiral,N/A,trimerous,trimerous,differentiated,six to ten (6-10),one to six (1-6),typical (narrow),,dorsifixed,longitudinal slit,spiral,N/A,trimerous,trimerous,whorled,three (3),fused (>5%),one (1),absent,N/A,N/A
FC_0133,Actinidiaceae,Saurauia,scabrida,Saurauia scabrida,unisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0134,Actinidiaceae,Saurauia,yasicae,Saurauia yasicae,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),tetramerous,tetramerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0135,Fabaceae,Schizolobium,parahyba,Schizolobium parahyba,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,one (1),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
FC_0136,Elaeocarpaceae,Sloanea,terniflora,Sloanea terniflora,bisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,undifferentiated,more than ten (>10),more than six (>6),laminar (wide),N/A,basifixed,longitudinal slit,whorled,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0137,Anacardiaceae,Spondias,mombin,Spondias mombin,unisexual,unisexual,superior,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
FC_0138,Anacardiaceae,Spondias,radlkoferi,Spondias radlkoferi,unisexual,unisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
FC_0139,Apocynaceae,Tabernaemontana,donnell-smithii,Tabernaemontana donnell-smithii,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),N/A,,basifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,two (2),free (<5%),three or more (>2),present,,
FC_0140,Fabaceae,Swartzia,guatemalensis,Swartzia guatemalensis,bisexual,bisexual,inferior,present,one to five (1-5),one to six (1-6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,more than two (>2),N/A,N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
FC_0141,Bignoniaceae,Tabebuia,rosea,Tabebuia rosea,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),,dorsifixed,longitudinal slit,,,pentamerous,pentamerous,whorled,three (3),fused (>5%),two (2),present,discoidal,intraestaminal
FC_0142,Anacardiaceae,Tapirira,mexicana,Tapirira mexicana,unisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,N/A,whorled,three (3),fused (>5%),one (1),absent,N/A,N/A
FC_0143,Combretaceae,Terminalia,amazonia,Terminalia amazonia,bisexual,bisexual,inferior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,pentamerous,undifferentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,two (2),pentamerous,pentamerous,whorled,one (1),N/A,two (2),absent,N/A,N/A
FC_0144,Cannabaceae,Trema,micranthum,Trema micranthum,bisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,pentamerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0145,Malvaceae,Trichospermum,mexicanum,Trichospermum mexicanum,unisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,,,,,whorled,one (1),fused (>5%),,,,
FC_0146,Ulmaceae,Ulmus,mexicana,Ulmus mexicana,bisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),,,,,,,,whorled,two (2),fused (>5%),one (1),,,
FC_0147,Anacardiaceae,Astronium,graveolens,Astronium graveolens,unisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,three (3),fused (>5%),one (1),present,discoidal,intraestaminal
FC_0148,Fabaceae,Enterolobium,cyclocarpum,Enterolobium cyclocarpum,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,dorsifixed,,whorled,more than two (>2),N/A,N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
FC_0149,Cactaceae,Selenicereus,undatus,Selenicereus undatus,bisexual,bisexual,inferior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,one (1),N/A,N/A,undifferentiated,more than ten (>10),more than six (>6),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,N/A,whorled,more than five (>5),fused (>5%),,present,,interestaminal
FC_0150,Betulaceae,Carpinus,caroliniana,Carpinus caroliniana,unisexual,unisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,two (2),fused (>5%),one (1),absent,N/A,N/A
FC_0151,Euphorbiaceae ,Cnidoscolus,aconitifolius,Cnidoscolus aconitifolius,unisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,one (1),tetramerous,pentamerous,undifferentiated,one to five (1-5),more than six (>6),typical (narrow),,,,whorled,more than two (>2),N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,extraestaminal
FC_0152,Celastraceae,Quetzalia,contracta,Quetzalia contracta,unisexual,bisexual,,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),tetramerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),introrse,,longitudinal slit,whorled,one (1),tetramerous,pentamerous,whorled,two (2),fused (>5%),two (2),absent,N/A,N/A
FC_0153,Capparaceae ,Morisonia,pringlei,Morisonia pringlei,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),tetramerous,tetramerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,basifixed,longitudinal slit,whorled,more than two (>2),N/A,N/A,whorled,one (1),N/A,three or more (>2),present,glandular,extraestaminal
FC_0154,Bignoniaceae ,Amphilophium,paniculatum,Amphilophium paniculatum,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),zygomorphic,whorled,more than two (>2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),extrorse,dorsifixed,H-valvate,whorled,one (1),tetramerous,tetramerous,whorled,two (2),fused (>5%),three or more (>2),present,discoidal,
FC_0155,Malpighiaceae,Heteropterys,intermedia,Heteropterys intermedia,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),pentamerous,pentamerous,whorled,three (3),fused (>5%),,absent,N/A,N/A
FC_0156,Apocynaceae,Prestonia,longifolia,Prestonia longifolia,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),N/A,N/A,differentiated,one to five (1-5),one to six (1-6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,two (2),free (<5%),three or more (>2),present,,intraestaminal
FC_0157,Apocynaceae,Prestonia,speciosa,Prestonia speciosa,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),N/A,N/A,differentiated,one to five (1-5),one to six (1-6),,,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,two (2),free (<5%),three or more (>2),present,,intraestaminal
FC_0158,Apocynaceae,Prestonia,mexicana,Prestonia mexicana,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,two (2),free (<5%),three or more (>2),present,glandular,intraestaminal
FC_0159,Malpighiaceae,Stigmaphyllon,retusum,Stigmaphyllon retusum,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,,longitudinal slit,whorled,two (2),pentamerous,pentamerous,whorled,three (3),free (<5%),one (1),absent,N/A,N/A
FC_0160,Arecaceae,Brahea,calcarea,Brahea calcarea,bisexual,bisexual,superior,present,six to ten (6-10),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),trimerous,trimerous,differentiated,six to ten (6-10),one to six (1-6),typical (narrow),,dorsifixed,,spiral,N/A,trimerous,trimerous,whorled,three (3),fused (>5%),,absent,N/A,N/A
FC_0161,Malpighiaceae,Bunchosia,lindeniana,Bunchosia lindeniana,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),zygomorphic,whorled,two (2),tetramerous,tetramerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,,longitudinal slit,,,,,whorled,two (2),fused (>5%),,absent,N/A,N/A
FC_0162,Arecaceae,Chamaedorea,plumosa,Chamaedorea plumosa,unisexual,unisexual,,present,six to ten (6-10),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),trimerous,trimerous,differentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),,absent,N/A,N/A
FC_0163,Caricaceae,Jarilla,heterophylla,Jarilla heterophylla,unisexual,unisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0164,Acanthaceae,Ruellia,inundata,Ruellia inundata,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),dimerous,N/A,whorled,two (2),fused (>5%),three or more (>2),present,discoidal,intraestaminal
FC_0165,Acanthaceae,Ruellia,jussieuoides,Ruellia jussieuoides,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),dimerous,N/A,whorled,two (2),fused (>5%),three or more (>2),present,discoidal,intraestaminal
FC_0166,Commelinaceae,Tradescantia,zanonia,Tradescantia zanonia,bisexual,bisexual,,present,six to ten (6-10),one to six (1-6),free (<5%),actinomorphic,whorled,two (2),trimerous,trimerous,differentiated,six to ten (6-10),one to six (1-6),typical (narrow),,,longitudinal slit,whorled,one (1),trimerous,trimerous,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
FC_0167,Actinidiaceae,Saurauia,scabrida,Saurauia scabrida,unisexual,unisexual,N/A,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0168,Anacardiaceae,Spondias,mombin,Spondias mombin,unisexual,unisexual,N/A,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
FC_0169,Anacardiaceae,Spondias,radlkoferi,Spondias radlkoferi,unisexual,unisexual,N/A,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,N/A,whorled,four or five (4-5),fused (>5%),N/A,present,discoidal,intraestaminal
FC_0170,Anacardiaceae,Tapirira,mexicana,Tapirira mexicana,unisexual,bisexual,N/A,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,N/A,whorled,three (3),fused (>5%),N/A,absent,N/A,N/A
FC_0171,Anacardiaceae,Astronium,graveolens,Astronium graveolens,unisexual,bisexual,N/A,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,N/A,N/A,N/A,N/A,present,discoidal,intraestaminal
FC_0172,Arecaceae,Roystonea,dunlapiana,Roystonea dunlapiana,unisexual,unisexual,N/A,present,six to ten (6-10),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),trimerous,trimerous,differentiated,six to ten (6-10),one to six (1-6),typical (narrow),,dorsifixed,longitudinal slit,spiral,N/A,trimerous,trimerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0173,Arecaceae,Chamaedorea,plumosa,Chamaedorea plumosa,unisexual,unisexual,N/A,present,six to ten (6-10),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),trimerous,trimerous,differentiated,six to ten (6-10),one to six (1-6),typical (narrow),,dorsifixed,,whorled,one (1),trimerous,trimerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0174,Betulaceae,Carpinus,caroliniana,Carpinus caroliniana,unisexual,unisexual,N/A,present,,,fused (>5%),actinomorphic,,,,,undifferentiated,six to ten (6-10),more than six (>6),typical (narrow),,dorsifixed,longitudinal slit,,,N/A,N/A,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0175,Burseraceae,Protium,copal,Protium copal,unisexual,bisexual,N/A,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),tetramerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,N/A,whorled,four or five (4-5),fused (>5%),,present,discoidal,
FC_0176,Caricaceae,Jarilla,heterophylla,Jarilla heterophylla,unisexual,unisexual,N/A,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,,,,,pentamerous,pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0177,Clusiaceae,Garcinia,intermedia,Garcinia intermedia,unisexual,bisexual,N/A,present,six to ten (6-10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),tetramerous,tetramerous,differentiated,more than ten (>10),more than six (>6),,extrorse,dorsifixed,longitudinal slit,whorled,,N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),absent,N/A,N/A
FC_0178,Fagaceae,Quercus,acutifolia,Quercus acutifolia,unisexual,unisexual,N/A,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0179,Fagaceae,Quercus,oleoides,Quercus oleoides,unisexual,unisexual,N/A,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),tetramerous,tetramerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0180,Fagaceae,Quercus,skinneri,Quercus skinneri,unisexual,unisexual,N/A,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),,,N/A,N/A,N/A,N/A,absent,N/A,N/A
