Numero,Orden,Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
1,lamiales,Acanthaceae,Ruellia,inundata,Ruellia inundata,Ruellia inundata,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,3,3,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),dimerous,whorled,two (2),fused (>5%),three or more (>2),present,discoidal,intraestaminal
2,lamiales,Acanthaceae,Ruellia,jussieuoides,Ruellia jussieuoides,Ruellia jussieuoides,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),dimerous,whorled,two (2),fused (>5%),three or more (>2),present,discoidal,intraestaminal
3,lamiales,Acanthaceae ,Avicennia,germinans,Avicennia germinans,Avicennia germinans,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,4,4,one to five (1-5),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),tetramerous,whorled,one (1),N/A,three or more (>2),present,,
4,lamiales,Acanthaceae ,Avicennia,germinans,Avicennia germinans,Avicennia germinans,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,4,one to five (1-5),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),tetramerous,whorled,one (1),N/A,three or more (>2),present,,
5,lamiales,Acanthaceae ,Avicennia,germinans,Avicennia germinans,Avicennia germinans,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,6,4,one to five (1-5),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),tetramerous,whorled,one (1),N/A,three or more (>2),present,,
6,lamiales,Actinidiaceae,Saurauia,scabrida,Saurauia scabrida,Saurauia scabrida,unisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
7,lamiales,Actinidiaceae,Saurauia,scabrida,Saurauia scabrida,Saurauia scabrida,unisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,4,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
8,lamiales,Actinidiaceae,Saurauia,scabrida,Saurauia scabrida,Saurauia scabrida,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,4,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
9,lamiales,Actinidiaceae,Saurauia,yasicae,Saurauia yasicae,Saurauia yasicae,bisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
10,lamiales,Actinidiaceae,Saurauia,scabrida,Schizolobium parahyba,Schizolobium parahyba,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,one (1),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
11,Saxifragales,Altingiaceae,Liquidambar,styraciflua,Liquidambar styraciflua,Liquidambar styraciflua,unisexual,bisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,more than ten (>10),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),dimerous,whorled,two (2),,one (1),absent,N/A,N/A
12,Saxifragales,Altingiaceae,Liquidambar,styraciflua,Liquidambar styraciflua,Liquidambar styraciflua,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,one (1),tetramerous,differentiated,0,4,0,one to five (1-5),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),dimerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
13,Sapindales,Anacardiaceae,Astronium,graveolens,Astronium graveolens,Astronium graveolens,unisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,three (3),fused (>5%),one (1),present,discoidal,intraestaminal
14,Sapindales,Anacardiaceae,Astronium,graveolens,Astronium graveolens,Astronium graveolens,unisexual,bisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,N/A,N/A,N/A,N/A,present,discoidal,intraestaminal
15,Sapindales,Anacardiaceae,Mosquitoxylum,jamaicense,Mosquitoxylum jamaicense,Mosquitoxylum jamaicense,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
16,Sapindales,Anacardiaceae,Spondias,mombin,Spondias mombin,Spondias mombin,unisexual,unisexual,Superior,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),pentamerous,differentiated,0,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
17,Sapindales,Anacardiaceae,Spondias,mombin,Spondias mombin,Spondias mombin,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
18,Sapindales,Anacardiaceae,Spondias,mombin,Spondias mombin,Spondias mombin,unisexual,unisexual,Superior,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),pentamerous,differentiated,0,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
19,Sapindales,Anacardiaceae,Spondias,mombin,Spondias mombin,Spondias mombin,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,6,6,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
20,Sapindales,Anacardiaceae,Spondias,radlkoferi,Spondias radlkoferi,Spondias radlkoferi,unisexual,unisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
21,Sapindales,Anacardiaceae,Spondias,radlkoferi,Spondias radlkoferi,Spondias radlkoferi,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,four or five (4-5),fused (>5%),N/A,present,discoidal,intraestaminal
22,Sapindales,Anacardiaceae,Tapirira,mexicana,Tapirira mexicana,Tapirira mexicana,unisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,three (3),fused (>5%),one (1),absent,N/A,N/A
23,Sapindales,Anacardiaceae,Tapirira,mexicana,Tapirira mexicana,Tapirira mexicana,unisexual,bisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,4,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,three (3),fused (>5%),N/A,absent,N/A,N/A
24,Sapindales,Anacardiaceae,Tapirira,mexicana,Tapirira mexicana,Tapirira mexicana,unisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,4,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,three (3),fused (>5%),one (1),absent,N/A,N/A
25,Sapindales,Anacardiaceae,Tapirira,mexicana,Tapirira mexicana,Tapirira mexicana,unisexual,bisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,three (3),fused (>5%),N/A,absent,N/A,N/A
26,Magnoliales,Annonaceae,Guatteria,grandiflora,Guatteria grandiflora,Guatteria grandiflora,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,more than two (>2),trimerous,differentiated,0,3,6,more than ten (>10),laminar (wide),extrorse,,longitudinal slit,spiral,N/A,N/A,spiral,more than five (>5),free (<5%),one (1),absent,N/A,N/A
27,Gentianales,Apocynaceae,Aspidosperma,megalocarpon,Aspidosperma megalocarpon,Aspidosperma megalocarpon,unisexual,unisexual,Superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,2,5,one to five (1-5),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),fused (>5%),,absent,N/A,N/A
28,Gentianales,Apocynaceae,Prestonia,longifolia,Prestonia longifolia,Prestonia longifolia,bisexual,bisexual,Superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),N/A,differentiated,0,5,5,one to five (1-5),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),free (<5%),three or more (>2),present,,intraestaminal
29,Gentianales,Apocynaceae,Prestonia,mexicana,Prestonia mexicana,Prestonia mexicana,bisexual,bisexual,Superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),free (<5%),three or more (>2),present,glandular,intraestaminal
30,Gentianales,Apocynaceae,Prestonia,speciosa,Prestonia speciosa,Prestonia speciosa,bisexual,bisexual,Superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),N/A,differentiated,0,5,5,one to five (1-5),,,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),free (<5%),three or more (>2),present,,intraestaminal
31,Gentianales,Apocynaceae,Tabernaemontana,donnell-smithii,Tabernaemontana donnell-smithii,Tabernaemontana donnell-smithii,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),N/A,,basifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),free (<5%),three or more (>2),present,,
32,Apiales,Araliaceae,Dendropanax,arboreus,Dendropanax arboreus,Dendropanax arboreus,bisexual,bisexual,inferior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
33,Apiales,Araliaceae,Dendropanax,arboreus,Dendropanax arboreus,Dendropanax arboreus,bisexual,bisexual,inferior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,6,6,one to five (1-5),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
34,Arecales,Arecaceae,Acrocomia,aculeata,Acrocomia aculeata,Acrocomia aculeata,unisexual,bisexual,Superior,present,one to five (1-5),fused (>5%),actinomorphic,spiral,two (2),trimerous,differentiated,0,3,3,one to five (1-5),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),trimerous,whorled,three (3),fused (>5%),one (1),absent,N/A,N/A
35,Arecales,Arecaceae,Attalea,butyracea,Attalea butyracea,Attalea butyracea,unisexual,unisexual,,present,one to five (1-5),free (<5%),actinomorphic,,one (1),trimerous,undifferentiated,0,,3,one to five (1-5),typical (narrow),,,,,,trimerous,whorled,three (3),fused (>5%),,absent,N/A,N/A
36,Arecales,Arecaceae,Brahea,calcarea,Brahea calcarea,Brahea calcarea,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,one (1),trimerous,differentiated,0,3,3,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,spiral,N/A,trimerous,whorled,three (3),fused (>5%),,absent,N/A,N/A
37,Arecales,Arecaceae,Chamaedorea,plumosa,Chamaedorea plumosa,Chamaedorea plumosa,unisexual,unisexual,,present,six to ten (6-10),free (<5%),actinomorphic,whorled,one (1),trimerous,differentiated,0,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),,absent,N/A,N/A
38,Arecales,Arecaceae,Chamaedorea,plumosa,Chamaedorea plumosa,Chamaedorea plumosa,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,one (1),trimerous,differentiated,0,3,3,six to ten (6-10),typical (narrow),,dorsifixed,,whorled,one (1),trimerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
39,Arecales,Arecaceae,Roystonea,dunlapiana,Roystonea dunlapiana,Roystonea dunlapiana,unisexual,unisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),trimerous,differentiated,0,3,3,six to ten (6-10),typical (narrow),,,,whorled,,trimerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
40,Arecales,Arecaceae,Roystonea,dunlapiana,Roystonea dunlapiana,Roystonea dunlapiana,unisexual,unisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),trimerous,differentiated,0,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
41,Arecales,Arecaceae,Roystonea,dunlapiana,Roystonea dunlapiana,Roystonea dunlapiana,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,one (1),trimerous,differentiated,0,3,3,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,spiral,N/A,trimerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
42,Arecales,Arecaceae,Sabal,mexicana,Sabal mexicana,Sabal mexicana,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,spiral,N/A,trimerous,differentiated,0,3,3,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,spiral,N/A,trimerous,whorled,three (3),fused (>5%),one (1),absent,N/A,N/A
43,Fagales,Betulaceae,Carpinus,caroliniana,Carpinus caroliniana,Carpinus caroliniana,unisexual,unisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,two (2),fused (>5%),one (1),absent,N/A,N/A
44,Fagales,Betulaceae,Carpinus,caroliniana,Carpinus caroliniana,Carpinus caroliniana,unisexual,unisexual,N/A,present,,fused (>5%),actinomorphic,,,,undifferentiated,0,1,0,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,,,N/A,N/A,N/A,N/A,N/A,absent,N/A,N/A
45,Lamiales,Bignoniaceae,Crescentia,cujete,Crescentia cujete,Crescentia cujete,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),trimerous,differentiated,0,2,5,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),trimerous,whorled,four or five (4-5),fused (>5%),three or more (>2),present,discoidal,intraestaminal
46,Lamiales,Bignoniaceae,Tabebuia,rosea,Tabebuia rosea,Tabebuia rosea,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,2,5,one to five (1-5),typical (narrow),,dorsifixed,longitudinal slit,,,trimerous,whorled,three (3),fused (>5%),two (2),present,discoidal,intraestaminal
47,Lamiales,Bignoniaceae,Tabebuia,rosea,Tabebuia rosea,Tabebuia rosea,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,3,5,one to five (1-5),typical (narrow),,dorsifixed,longitudinal slit,,,trimerous,whorled,three (3),fused (>5%),two (2),present,discoidal,intraestaminal
48,Lamiales,Bignoniaceae,Amphilophium,paniculatum,Amphilophium paniculatum,Amphilophium paniculatum,bisexual,bisexual,Superior,present,more than ten (>10),fused (>5%),zygomorphic,whorled,more than two (>2),pentamerous,differentiated,,,,one to five (1-5),typical (narrow),extrorse,dorsifixed,H-valvate,whorled,one (1),tetramerous,whorled,two (2),fused (>5%),three or more (>2),present,discoidal,
49,Boraginales,Boraginaceae,Cordia,alliodora,Cordia alliodora,Cordia alliodora,bisexual,bisexual,superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),latrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),fused (>5%),,absent,N/A,N/A
50,Boraginales,Boraginaceae,Cordia,dodecandra,Cordia dodecandra,Cordia dodecandra,bisexual,bisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),one (1),present,,
51,Boraginales,Boraginaceae,Cordia,megalantha,Cordia megalantha,Cordia megalantha,bisexual,bisexual,superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),,,,whorled,one (1),pentamerous,whorled,,fused (>5%),,absent,N/A,N/A
52,Sapindales,Burseraceae,Protium,copal,Protium copal,Protium copal,unisexual,bisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,3,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,four or five (4-5),fused (>5%),,present,discoidal,
53,Sapindales,Burseraceae,Protium,copal,Protium copal,Protium copal,unisexual,bisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,four or five (4-5),fused (>5%),,present,discoidal,
54,Sapindales,Burseraceae,Protium,copal,Protium copal,Protium copal,unisexual,bisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,5,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,four or five (4-5),fused (>5%),,present,discoidal,
55,Sapindales,Burseraceae,Protium,copal,Protium copal,Protium copal,unisexual,bisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,3,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,four or five (4-5),fused (>5%),,present,discoidal,
56,Sapindales,Burseraceae,Protium,copal,Protium copal,Protium copal,unisexual,bisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,4,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,four or five (4-5),fused (>5%),,present,discoidal,
57,Sapindales,Burseraceae,Protium,copal,Protium copal,Protium copal,unisexual,bisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,four or five (4-5),fused (>5%),,present,discoidal,
58,Sapindales,Burseraceae,Protium,copal,Protium copal,Protium copal,unisexual,bisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,four or five (4-5),fused (>5%),,present,discoidal,
59,Sapindales,Burseraceae ,Bursera,simaruba,Bursera simaruba,Bursera simaruba,unisexual,unisexual,N/A,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,0,4,4,more than ten (>10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,N/A,N/A,N/A,N/A,present,discoidal,
60,Sapindales,Burseraceae ,Bursera,simaruba,Bursera simaruba,Bursera simaruba,unisexual,unisexual,N/A,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,0,5,5,,,,,,,,,,,,,,,
61,Sapindales,Burseraceae ,Bursera,simaruba,Bursera simaruba,Bursera simaruba,unisexual,unisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),tetramerous,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
62,Caryophyllales,Cactaceae,Selenicereus,undatus,Selenicereus undatus,Selenicereus undatus,bisexual,bisexual,inferior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,more than two (>2),N/A,undifferentiated,100,0,0,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,more than five (>5),fused (>5%),,present,,interestaminal
63,Malpighiales,Calophyllaceae ,Calophyllum,brasiliense,Calophyllum brasiliense,Calophyllum brasiliense,unisexual,unisexual,,present,N/A,N/A,actinomorphic,whorled,one (1),tetramerous,undifferentiated,4,0,0,more than ten (>10),typical (narrow),,,,whorled,one (1),,,,,,absent,N/A,N/A
64,Malpighiales,Calophyllaceae ,Calophyllum,brasiliense,Calophyllum brasiliense,Calophyllum brasiliense,unisexual,bisexual,superior,present,N/A,N/A,actinomorphic,whorled,one (1),tetramerous,undifferentiated,4,0,0,six to ten (6-10),,,,,whorled,one (1),,whorled,one (1),,,absent,N/A,N/A
65,Malpighiales,Calophyllaceae ,Calophyllum,brasiliense,Calophyllum brasiliense,Calophyllum brasiliense,unisexual,unisexual,,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,,typical (narrow),,,,whorled,,,N/A,N/A,N/A,N/A,absent,N/A,N/A
66,Rosales,Cannabaceae,Ampelocera,hottlei,Ampelocera hottlei,Ampelocera hottlei,unisexual,bisexual,,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,0,0,5,,typical (narrow),,basifixed,,whorled,,,,,fused (>5%),,absent,N/A,N/A
67,Rosales,Cannabaceae,Aphananthe,monoica,Aphananthe monoica,Aphananthe monoica,unisexual,unisexual,Superior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,5,0,0,one to five (1-5),typical (narrow),,dorsifixed,longitudinal slit,whorled,,pentamerous,whorled,one (1),N/A,,absent,N/A,N/A
68,Rosales,Cannabaceae,Trema,micranthum,Trema micranthum,Trema micranthum,bisexual,bisexual,Superior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,0,5,0,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
69,Rosales,Cannabaceae,Trema,micranthum,Trema micranthum,Trema micranthum,bisexual,bisexual,Superior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,0,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
70,Brassicales,Capparaceae,Crateva,tapia,Crateva tapia,Crateva tapia,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,4,4,more than ten (>10),typical (narrow),,,,whorled,one (1),N/A,whorled,one (1),N/A,,absent,N/A,N/A
71,Brassicales,Capparaceae,Morisonia,flexuosa,Morisonia flexuosa,Morisonia flexuosa,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,2,4,more than ten (>10),typical (narrow),N/A,dorsifixed,longitudinal slit,whorled,more than two (>2),N/A,whorled,one (1),N/A,three or more (>2),present,glandular,extraestaminal
72,Brassicales,Capparaceae,Morisonia,flexuosa,Morisonia flexuosa,Morisonia flexuosa,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,3,4,more than ten (>10),typical (narrow),N/A,dorsifixed,longitudinal slit,whorled,more than two (>2),N/A,whorled,one (1),N/A,three or more (>2),present,glandular,extraestaminal
73,Brassicales,Capparaceae,Morisonia,flexuosa,Morisonia flexuosa,Morisonia flexuosa,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,more than ten (>10),typical (narrow),N/A,dorsifixed,longitudinal slit,whorled,more than two (>2),N/A,whorled,one (1),N/A,three or more (>2),present,glandular,extraestaminal
74,Brassicales,Capparaceae ,Morisonia,pringlei,Morisonia pringlei,Morisonia pringlei,bisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,,,,more than ten (>10),typical (narrow),,basifixed,longitudinal slit,whorled,more than two (>2),N/A,whorled,one (1),N/A,three or more (>2),present,glandular,extraestaminal
75,Brassicales,Caricaceae,Jacaratia,dolichaula,Jacaratia dolichaula,Jacaratia dolichaula,unisexual,unisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
76,Brassicales,Caricaceae,Jacaratia,dolichaula,Jacaratia dolichaula,Jacaratia dolichaula,unisexual,unisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
