Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
Meliaceae,Guarea,guidonia,Guarea guidonia,Guarea guidonia,unisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,six to ten (6-10),typical (narrow),introrse,,,whorled,one (1),tetramerous,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
Meliaceae,Guarea,guidonia,Guarea guidonia,Guarea guidonia,unisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,4,six to ten (6-10),typical (narrow),introrse,,,whorled,one (1),tetramerous,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
Annonaceae,Guatteria,grandiflora,Guatteria grandiflora,Guatteria grandiflora,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,more than two (>2),trimerous,differentiated,0,3,6,more than ten (>10),laminar (wide),extrorse,,longitudinal slit,spiral,N/A,N/A,spiral,more than five (>5),free (<5%),one (1),absent,N/A,N/A
Malvaceae,Guazuma,ulmifolia,Guazuma ulmifolia,Guazuma ulmifolia,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,2,5,more than ten (>10),typical (narrow),,,,whorled,more than two (>2),N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
Malvaceae,Guazuma,ulmifolia,Guazuma ulmifolia,Guazuma ulmifolia,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,3,5,more than ten (>10),typical (narrow),,,,whorled,more than two (>2),N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
Malvaceae,Hampea,nutricia,Hampea nutricia,Hampea nutricia,unisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,,5,more than ten (>10),typical (narrow),,dorsifixed,,whorled,,N/A,whorled,three (3),fused (>5%),,present,glandular,
Malvaceae,Hampea,nutricia,Hampea nutricia,Hampea nutricia,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,,5,more than ten (>10),typical (narrow),,dorsifixed,,whorled,,N/A,N/A,N/A,N/A,N/A,present,glandular,
Malvaceae,Heliocarpus,appendiculatus,Heliocarpus appendiculatus,Heliocarpus appendiculatus,unisexual,unisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),N/A,,absent,N/A,N/A
Malvaceae,Heliocarpus,appendiculatus,Heliocarpus appendiculatus,Heliocarpus appendiculatus,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,,whorled,,tetramerous,N/A,,,,absent,N/A,N/A
Malvaceae,Heliocarpus,appendiculatus,Heliocarpus appendiculatus,Heliocarpus appendiculatus,unisexual,unisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),N/A,,absent,N/A,N/A
Malvaceae,Heliocarpus,appendiculatus,Heliocarpus appendiculatus,Heliocarpus appendiculatus,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,more than ten (>10),typical (narrow),extrorse,dorsifixed,,whorled,,tetramerous,N/A,,,,absent,N/A,N/A
Malvaceae,Heliocarpus,appendiculatus,Heteropterys intermedia,Heteropterys intermedia,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),pentamerous,whorled,three (3),fused (>5%),,absent,N/A,N/A
Chrysobalanaceae,Hirtella,racemosa,Hirtella racemosa,Hirtella racemosa,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),extrorse,dorsifixed,,whorled,one (1),pentamerous,whorled,one (1),N/A,two (2),absent,N/A,N/A
Euphorbiaceae,Hura,polyandra,Hura polyandra,Hura polyandra,unisexual,unisexual,superior,present,more than ten (>10),fused (>5%),zygomorphic,whorled,one (1),N/A,undifferentiated,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,more than five (>5),fused (>5%),one (1),absent,N/A,N/A
Euphorbiaceae,Hura,polyandra,Hura polyandra,Hura polyandra,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),N/A,undifferentiated,0,1,0,more than ten (>10),N/A,N/A,N/A,,whorled,more than two (>2),N/A,N/A,N/A,N/A,N/A,absent,N/A,N/A
Fabaceae,Inga,acrocephala,Inga acrocephala,Inga acrocephala,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,7,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
Fabaceae,Inga,acrocephala,Inga acrocephala,Inga acrocephala,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,6,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
Fabaceae,Inga,acrocephala,Inga acrocephala,Inga acrocephala,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
Fabaceae,Inga,sapindoides,Inga sapindoides,Inga sapindoides,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
Fabaceae,Inga,vera,Inga vera,Inga vera,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,,whorled,one (1),N/A,whorled,more than five (>5),fused (>5%),three or more (>2),present,glandular,intraestaminal
Caricaceae,Jacaratia,dolichaula,Jacaratia dolichaula,Jacaratia dolichaula,unisexual,unisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
Caricaceae,Jacaratia,dolichaula,Jacaratia dolichaula,Jacaratia dolichaula,unisexual,unisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
Caricaceae,Jacaratia,dolichaula,Jacaratia dolichaula,Jacaratia dolichaula,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
Caricaceae,Jarilla,heterophylla,Jarilla heterophylla,Jarilla heterophylla,unisexual,unisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,0,5,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
Caricaceae,Jarilla,heterophylla,Jarilla heterophylla,Jarilla heterophylla,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,1,more than ten (>10),typical (narrow),,,,,,pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
Juglandaceae,Juglans,pyriformis,Juglans pyriformis,Juglans pyriformis,unisexual,unisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,more than five (>5),fused (>5%),,absent,N/A,N/A
Juglandaceae,Juglans,pyriformis,Juglans pyriformis,Juglans pyriformis,unisexual,unisexual,N/A,present,more than ten (>10),,actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,0,more than ten (>10),typical (narrow),,basifixed,longitudinal slit,whorled,more than two (>2),N/A,N/A,N/A,N/A,N/A,absent,N/A,N/A
Lacistemataceae,Lacistema,aggregatum,Lacistema aggregatum,Lacistema aggregatum,bisexual,bisexual,inferior,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,4,one to five (1-5),typical (narrow),,,,whorled,one (1),N/A,whorled,three (3),fused (>5%),one (1),present,discoidal,intraestaminal
Combretaceae,Laguncularia,racemosa,Laguncularia racemosa,Laguncularia racemosa,unisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,two (2),present,discoidal,intraestaminal
Combretaceae,Laguncularia,racemosa,Laguncularia racemosa,Laguncularia racemosa,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,N/A,N/A,N/A,N/A,present,discoidal,intraestaminal
Fabaceae,Leucaena,leucocephala,Leucaena leucocephala,Leucaena leucocephala,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,,pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
Lauraceae,Licaria,capitata,Licaria capitata,Licaria capitata,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),trimerous,differentiated,0,3,3,more than ten (>10),typical (narrow),introrse,basifixed,flap-valvate,whorled,more than two (>2),trimerous,whorled,two (2),,one (1),absent,N/A,N/A
Altingiaceae,Liquidambar,styraciflua,Liquidambar styraciflua,Liquidambar styraciflua,unisexual,bisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,more than ten (>10),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),dimerous,whorled,two (2),,one (1),absent,N/A,N/A
Altingiaceae,Liquidambar,styraciflua,Liquidambar styraciflua,Liquidambar styraciflua,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,one (1),tetramerous,differentiated,0,4,0,one to five (1-5),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),dimerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
Fabaceae,Lonchocarpus,cruentus,Lonchocarpus cruentus,Lonchocarpus cruentus,bisexual,bisexual,Superior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
Fabaceae,Lonchocarpus,guatemalensis,Lonchocarpus guatemalensis,Lonchocarpus guatemalensis,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
Fabaceae,Lonchocarpus,heptaphyllus,Lonchocarpus heptaphyllus,Lonchocarpus heptaphyllus,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,3,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,,present,,interestaminal
Fabaceae,Lonchocarpus,santarosanus,Lonchocarpus santarosanus,Lonchocarpus santarosanus,bisexual,bisexual,Superior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,3,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,two (2),absent,N/A,N/A
Malvaceae,Luehea,speciosa,Luehea speciosa,Luehea speciosa,bisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,two (2),N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
Salicaceae,Lunania,mexicana,Lunania mexicana,Lunania mexicana,unisexual,unisexual,Superior,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),dimerous,undifferentiated,0,2,0,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,two (2),pentamerous,whorled,three (3),fused (>5%),three or more (>2),absent,N/A,N/A
Salicaceae,Lunania,mexicana,Lunania mexicana,Lunania mexicana,unisexual,unisexual,N/A,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),dimerous,undifferentiated,0,2,0,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,two (2),pentamerous,whorled,three (3),fused (>5%),N/A,absent,N/A,N/A
