Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
Meliaceae,Cedrela,odorata,Cedrela odorata,Cedrela odorata,unisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,1,5,one to five (1-5),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
Malvaceae,Ceiba,pentandra,Ceiba pentandra,Ceiba pentandra,bisexual,bisexual,inferior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,,,,,,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
Arecaceae,Chamaedorea,plumosa,Chamaedorea plumosa,Chamaedorea plumosa,unisexual,unisexual,,present,six to ten (6-10),free (<5%),actinomorphic,whorled,one (1),trimerous,differentiated,0,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),,absent,N/A,N/A
Arecaceae,Chamaedorea,plumosa,Chamaedorea plumosa,Chamaedorea plumosa,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,one (1),trimerous,differentiated,0,3,3,six to ten (6-10),typical (narrow),,dorsifixed,,whorled,one (1),trimerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
Sapotaceae,Chrysophyllum,mexicanum,Chrysophyllum mexicanum,Chrysophyllum mexicanum,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,4,one to five (1-5),typical (narrow),,,,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),one (1),present,glandular,intraestaminal
Sapotaceae,Chrysophyllum,mexicanum,Chrysophyllum mexicanum,Chrysophyllum mexicanum,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),,,,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),one (1),present,glandular,intraestaminal
Clethraceae,Clethra,macrophylla,Clethra macrophylla,Clethra macrophylla,bisexual,bisexual,superior,present,more than ten (>10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,two (2),N/A,whorled,three (3),fused (>5%),three or more (>2),absent,N/A,N/A
Euphorbiaceae ,Cnidoscolus,aconitifolius,Cnidoscolus aconitifolius,Cnidoscolus aconitifolius,unisexual,bisexual,superior,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,5,one to five (1-5),typical (narrow),,,,whorled,more than two (>2),N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,extraestaminal
Euphorbiaceae,Cnidoscolus,multilobus,Cnidoscolus multilobus,Cnidoscolus multilobus,unisexual,unisexual,superior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,5,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),free (<5%),one (1),present,glandular,intraestaminal
Euphorbiaceae,Cnidoscolus,multilobus,Cnidoscolus multilobus,Cnidoscolus multilobus,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,5,0,0,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,more than two (>2),dimerous,N/A,N/A,N/A,N/A,present,glandular,intraestaminal
