Numero,Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
156,Malpighiaceae,Bunchosia,lindeniana,Bunchosia lindeniana,Bunchosia lindeniana,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,,5,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,,,,whorled,two (2),fused (>5%),,absent,N/A,N/A
157,Malpighiaceae,Byrsonima,cinerea,Byrsonima cinerea,Byrsonima cinerea,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,0,0,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,,,,whorled,three (3),fused (>5%),,absent,N/A,N/A
158,Malpighiaceae,Stigmaphyllon,retusum,Stigmaphyllon retusum,Stigmaphyllon retusum,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),pentamerous,whorled,three (3),free (<5%),one (1),absent,N/A,N/A
159,Malvaceae,Apeiba,tibourbou,Apeiba tibourbou,Apeiba tibourbou,bisexual,bisexual,Superior,present,one to five (1-5),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,dorsifixed,longitudinal slit,1,one (1),pentamerous,whorled,more than five (>5),fused (>5%),three or more (>2),absent,N/A,N/A
160,Malvaceae,Bernoullia,flammea,Bernoullia flammea,Bernoullia flammea,bisexual,bisexual,Superior,present,more than ten (>10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,,,whorled,,,whorled,,free (<5%),,present,,extraestaminal
161,Malvaceae,Ceiba,pentandra,Ceiba pentandra,Ceiba pentandra,bisexual,bisexual,inferior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,,,,,,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
162,Malvaceae,Guazuma,ulmifolia,Guazuma ulmifolia,Guazuma ulmifolia,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,2,5,more than ten (>10),typical (narrow),,,,whorled,more than two (>2),N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
163,Malvaceae,Guazuma,ulmifolia,Guazuma ulmifolia,Guazuma ulmifolia,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,3,5,more than ten (>10),typical (narrow),,,,whorled,more than two (>2),N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
164,Malvaceae,Hampea,nutricia,Hampea nutricia,Hampea nutricia,unisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,,5,more than ten (>10),typical (narrow),,dorsifixed,,whorled,,N/A,whorled,three (3),fused (>5%),,present,glandular,
165,Malvaceae,Hampea,nutricia,Hampea nutricia,Hampea nutricia,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,,5,more than ten (>10),typical (narrow),,dorsifixed,,whorled,,N/A,N/A,N/A,N/A,N/A,present,glandular,
166,Malvaceae,Heliocarpus,appendiculatus,Heliocarpus appendiculatus,Heliocarpus appendiculatus,unisexual,unisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),N/A,,absent,N/A,N/A
167,Malvaceae,Heliocarpus,appendiculatus,Heliocarpus appendiculatus,Heliocarpus appendiculatus,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,,whorled,,tetramerous,N/A,,,,absent,N/A,N/A
